127.0.0.1 - - [20/Jul/2022:12:46:18 -0400] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Jul/2022:12:46:39 -0400] "GET /pj1/api HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [20/Jul/2022:12:46:40 -0400] "GET /pj1/api HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [20/Jul/2022:12:46:42 -0400] "OPTIONS /pj1/api HTTP/1.1" 202 -
0:0:0:0:0:0:0:1 - - [20/Jul/2022:12:46:43 -0400] "PUT /pj1/api HTTP/1.1" 201 87
0:0:0:0:0:0:0:1 - - [20/Jul/2022:12:46:44 -0400] "PUT /pj1/api HTTP/1.1" 201 87
0:0:0:0:0:0:0:1 - - [20/Jul/2022:12:46:47 -0400] "GET /pj1/api HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [20/Jul/2022:12:46:47 -0400] "GET /pj1/api HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [20/Jul/2022:12:46:52 -0400] "OPTIONS /pj1/api HTTP/1.1" 202 -
0:0:0:0:0:0:0:1 - - [20/Jul/2022:12:46:52 -0400] "PUT /pj1/api HTTP/1.1" 201 88
0:0:0:0:0:0:0:1 - - [20/Jul/2022:12:46:53 -0400] "PUT /pj1/api HTTP/1.1" 201 88
0:0:0:0:0:0:0:1 - - [20/Jul/2022:12:46:55 -0400] "GET /pj1/api HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [20/Jul/2022:12:46:55 -0400] "GET /pj1/api HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [20/Jul/2022:12:46:56 -0400] "PUT /pj1/api HTTP/1.1" 201 87
0:0:0:0:0:0:0:1 - - [20/Jul/2022:12:46:58 -0400] "GET /pj1/api HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [20/Jul/2022:12:46:58 -0400] "GET /pj1/api HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [20/Jul/2022:12:46:59 -0400] "OPTIONS /pj1/api HTTP/1.1" 202 -
0:0:0:0:0:0:0:1 - - [20/Jul/2022:12:46:59 -0400] "PUT /pj1/api HTTP/1.1" 201 88
0:0:0:0:0:0:0:1 - - [20/Jul/2022:12:47:00 -0400] "PUT /pj1/api HTTP/1.1" 201 87
0:0:0:0:0:0:0:1 - - [20/Jul/2022:12:47:00 -0400] "PUT /pj1/api HTTP/1.1" 201 87
0:0:0:0:0:0:0:1 - - [20/Jul/2022:12:47:01 -0400] "PUT /pj1/api HTTP/1.1" 201 88
0:0:0:0:0:0:0:1 - - [20/Jul/2022:12:47:02 -0400] "GET /pj1/api HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [20/Jul/2022:12:47:02 -0400] "GET /pj1/api HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [20/Jul/2022:12:48:14 -0400] "GET /pj1/api HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [20/Jul/2022:12:48:14 -0400] "GET /pj1/api HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [20/Jul/2022:12:51:47 -0400] "GET /pj1/api HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [20/Jul/2022:12:51:47 -0400] "GET /pj1/api HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [20/Jul/2022:12:51:56 -0400] "GET /pj1/api HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [20/Jul/2022:12:51:56 -0400] "GET /pj1/api HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [20/Jul/2022:12:52:23 -0400] "GET /pj1/api HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [20/Jul/2022:12:52:23 -0400] "GET /pj1/api HTTP/1.1" 200 355
